基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类
511010,国泰上证5年期国债E,指数型,67.66%,32.34%,30.21 亿,截至2025-06-30，国泰上证5年期国债ETF 的基金机构持有0.14亿份，占总份额的67.66%，个人投资者持有0.07亿份，占总份额的32.34%,债券
511260,国泰上证10年期国债,指数型,90.52%,9.48%,165.56 亿,截至2025-06-30，国泰上证10年期国债ETF 的基金机构持有0.94亿份，占总份额的90.52%，个人投资者持有0.10亿份，占总份额的9.48%,债券
511270,海富通上证10年期地,指数型,88.35%,11.65%,37.56 亿,截至2025-06-30，海富通上证10年期地方政府债ETF 的基金机构持有0.18亿份，占总份额的88.35%，个人投资者持有0.02亿份，占总份额的11.65%,债券
159972,鹏华中证5年地债ET,指数型,98.72%,1.28%,37.61 亿,截至2025-06-30，鹏华中证5年地债ETF 的基金机构持有0.35亿份，占总份额的98.72%，个人投资者持有0.00亿份，占总份额的1.28%,债券
511020,平安中证5-10年国,指数型,91.14%,8.86%,20.05 亿,截至2025-06-30，平安中证5-10年国债活跃券ETF 的基金机构持有0.12亿份，占总份额的91.14%，个人投资者持有0.01亿份，占总份额的8.86%,债券
511520,富国中债7-10年政,指数型,96.35%,3.65%,407.05 亿,截至2025-06-30，富国中债7-10年政策性金融债ETF 的基金机构持有4.33亿份，占总份额的96.35%，个人投资者持有0.16亿份，占总份额的3.65%,债券
511090,鹏扬中债-30年期国,指数型,68.83%,31.17%,245.82 亿,截至2025-06-30，鹏扬中债-30年期国债ETF 的基金机构持有0.89亿份，占总份额的68.83%，个人投资者持有0.40亿份，占总份额的31.17%,债券
159816,鹏华0-4年地方政府,指数型,99.01%,0.99%,120.17 亿,截至2025-06-30，鹏华0-4年地方政府债ETF 的基金机构持有0.17亿份，占总份额的99.01%，个人投资者持有0.00亿份，占总份额的0.99%,债券
511360,海富通中证短融ETF,指数型,65.91%,34.09%,702.23 亿,截至2025-06-30，海富通中证短融ETF 的基金机构持有2.88亿份，占总份额的65.91%，个人投资者持有1.49亿份，占总份额的34.09%,债券
159649,华安中债1-5年国开,指数型,94.81%,5.19%,27.40 亿,截至2025-06-30，华安中债1-5年国开债ETF 的基金机构持有0.37亿份，占总份额的94.81%，个人投资者持有0.02亿份，占总份额的5.19%,债券
511580,招商中证国债及政策性,指数型,89.74%,10.26%,56.07 亿,截至2025-06-30，招商中证国债及政策性金融债0-3年ETF 的基金机构持有0.03亿份，占总份额的89.74%，个人投资者持有0.00亿份，占总份额的10.26%,债券
511100,华夏上证基准做市国债,指数型,81.37%,18.63%,114.50 亿,截至2025-06-30，华夏上证基准做市国债ETF 的基金机构持有0.03亿份，占总份额的81.37%，个人投资者持有0.01亿份，占总份额的18.63%,债券
159650,博时中债0-3年国开,指数型,76.71%,8.09%,42.33 亿,截至2025-06-30，博时中债0-3年国开行ETF 的基金机构持有0.24亿份，占总份额的76.71%，个人投资者持有0.03亿份，占总份额的8.09%,债券
159651,平安中债-0-3年国,指数型,89.78%,10.22%,6.95 亿,截至2025-06-30，平安中债-0-3年国开行债券ETF 的基金机构持有0.09亿份，占总份额的89.78%，个人投资者持有0.01亿份，占总份额的10.22%,债券
511030,平安中债债利差因子E,指数型,99.48%,0.52%,337.20 亿,截至2025-06-30，平安中债债利差因子ETF 的基金机构持有2.05亿份，占总份额的99.48%，个人投资者持有0.01亿份，占总份额的0.52%,债券
511060,海富通上证5年期地方,指数型,95.01%,4.99%,13.90 亿,截至2025-06-30，海富通上证5年期地方政府债ETF 的基金机构持有0.08亿份，占总份额的95.01%，个人投资者持有0.00亿份，占总份额的4.99%,债券
511130,博时上证30年期国债,指数型,80.24%,19.76%,142.39 亿,截至2025-06-30，博时上证30年期国债ETF 的基金机构持有0.52亿份，占总份额的80.24%，个人投资者持有0.13亿份，占总份额的19.76%,债券
