基金代码,基金简称,小类,综合得分,排名,最新收盘价,ret20,ret60,volatility,trend_stability,bias,volume_ratio,过热标记
159981,建信能源化工期货ET,化工,2.7853037784001313,1,1.985,0.2805,0.2646,0.5356,0.8642,0.1691,2.4758,⚠️高乖离
515220,国泰中证煤炭ETF,煤炭,1.6209562825020445,2,1.243,0.167,0.2181,0.3459,0.7852,0.0933,1.6761,
159697,鹏华国证石油天然气E,能源,1.3708907079682848,3,1.911,0.1603,0.2838,0.622,0.5108,0.0233,0.6891,
159625,嘉实国证绿色电力ET,电力,1.2875766290655632,4,1.192,0.1737,0.1776,0.1511,0.9588,0.0953,0.7157,
561380,国泰恒生A股电网设备,电网设备,1.1618434702543188,5,2.971,0.1259,0.277,0.2983,0.8596,0.0384,0.8725,
159566,易方达国证新能源电池,新能源,1.077438405907059,6,1.034,0.0928,0.0918,0.1888,0.6038,0.0653,2.9686,
516810,华夏中证农业主题ET,农业,0.9596609694958996,7,3.418,0.1132,0.0901,0.1936,0.8766,0.058,1.1923,
513310,华泰柏瑞中韩半导体E,半导体,0.9322913013488165,8,1.927,0.1091,0.3423,0.644,0.1789,-0.0011,0.5259,
159885,鹏华中证内地低碳经济,低碳,0.7515240385352135,9,1.871,0.0744,0.0744,0.1508,0.3974,0.063,2.7216,
515110,易方达中证国企一带一,一带一路,0.7487855436195495,10,1.37,0.1059,0.1429,0.1833,0.7966,0.035,0.792,
516670,招商中证畜牧养殖ET,养殖,0.7257907763278739,11,1.719,0.0797,0.0449,0.1892,0.7931,0.0473,1.3002,
516970,广发中证基建工程ET,基建,0.6715868830212015,12,1.443,0.0829,0.0663,0.1951,0.5226,0.0449,1.8293,
512580,广发中证环保ETF,环保,0.4935942084689123,13,1.538,0.0779,0.0869,0.1575,0.3718,0.0609,1.3792,
510170,国联安上证商品ETF,商品,0.38694451658726814,14,1.062,0.0827,0.183,0.2693,0.3121,0.0159,0.6457,
159695,嘉实国证通信ETF,通信,0.16302990514526342,15,0.881,0.0482,0.0486,0.2841,0.195,0.0131,1.0774,
159335,融通中证诚通央企科技,创新,0.08583393829575584,16,104.094,0.0454,0.0608,0.2144,0.4682,0.0057,0.3241,
159562,华夏中证沪深港黄金产,黄金,-0.027684126308309506,17,0.745,0.019,0.1478,0.435,0.0004,-0.0261,0.5621,
515210,国泰中证钢铁ETF,钢铁,-0.048272590827588766,18,1.457,0.0588,0.0759,0.2378,0.1144,-0.0018,0.5846,
516150,嘉实中证稀土产业ET,稀土,-0.05236867439433869,19,0.944,0.0247,0.0403,0.3846,0.0024,-0.0246,1.1496,
159545,易方达恒生港股通高股,高股息,-0.0695219649846131,20,1.57,-0.012,0.0319,0.1291,0.442,-0.0108,1.6018,
560280,广发中证工程机械主题,工程机械,-0.15652495352996038,21,1.588,-0.0393,0.054,0.3061,0.3147,-0.0419,1.3775,
513190,华夏中证港股通内地金,金融,-0.15817674571435258,22,1.493,-0.06,-0.0515,0.1534,0.877,-0.0287,0.9932,
159333,万家中证港股通央企红,红利,-0.17791502699423195,23,1.392,0.0235,0.0481,0.1548,0.1723,0.0051,0.856,
510100,易方达上证50ETF,上证50ETF,-0.18015517477344734,24,1.625,-0.0214,-0.0502,0.0863,0.711,-0.0144,0.9933,
513170,鹏华恒生中国央企(Q,国央企,-0.18784137912575893,25,1.015,-0.0082,0.0207,0.105,0.5606,-0.0015,0.5537,
588030,博时上证科创板100,科创板,-0.20349447886499955,26,3.996,-0.0391,-0.0215,0.2544,0.4791,-0.02,0.83,
560880,广发中证全指家用电器,家用电器,-0.2090918357981053,27,1.584,-0.0338,-0.0436,0.1637,0.6432,-0.0137,0.7241,
159312,广发恒指港股通ETF,国际,-0.2260493033421547,28,1.58,-0.0405,-0.0297,0.1684,0.6757,-0.0185,0.6313,
560090,汇添富中证全指证券公,证券,-0.2283484759051493,29,1.209,-0.0437,-0.0927,0.1344,0.8176,-0.0216,0.7591,
159572,易方达创业板中盘20,创业板,-0.23346779304343787,30,1.319,-0.0051,-0.0157,0.2062,0.2105,0.0008,0.9493,
159739,鹏华中证云计算与大数,云计算与大数据,-0.2429775567580953,31,1.603,-0.0343,-0.02,0.2561,0.2808,-0.0095,1.0215,
159736,天弘中证食品饮料ET,食品饮料,-0.2458832882938696,32,1.306,-0.0351,-0.0586,0.1281,0.6905,-0.0127,0.6842,
159997,天弘中证电子ETF,电子,-0.24613276890166888,33,1.758,-0.0181,-0.0283,0.256,0.2963,-0.0191,0.9128,
159659,招商纳斯达克100E,海外,-0.2574263357213529,34,1.468,-0.0242,-0.0549,0.1386,0.5797,-0.0113,0.7198,
512200,南方中证房地产ETF,房地产,-0.26344030697142107,35,2.366,-0.0443,-0.0673,0.2074,0.679,-0.0235,0.5058,
513070,易方达中证港股通消费,消费,-0.2636842100994506,36,2.1,-0.0872,-0.0228,0.1719,0.8582,-0.0439,1.0092,
159565,易方达中证汽车零部件,汽车零部件,-0.2638619570957441,37,2.007,-0.0477,-0.0843,0.2148,0.6354,-0.0255,0.7836,
159819,易方达中证人工智能主,人工智能,-0.28362679046686806,38,1.137,-0.0363,-0.053,0.2193,0.4871,-0.0228,0.7874,
588750,汇添富上证科创板芯片,芯片,-0.29787311774078395,39,1.576,-0.0634,-0.038,0.2715,0.6165,-0.0433,0.685,
159570,汇添富国证港股通创新,创新药,-0.29890766065284274,40,4.96,-0.0732,-0.1405,0.3641,0.4247,-0.0257,1.0368,
560080,汇添富中证中药ETF,中药,-0.3036086627772829,41,1.893,-0.0171,-0.0345,0.099,0.5245,-0.0078,0.6618,
511130,博时上证30年期国债,债券,-0.320685500226577,42,1.287,-0.0141,0.0082,0.0493,0.3631,-0.0099,1.2672,
513750,广发中证港股通非银E,非银,-0.3227099835546833,43,2.145,-0.0775,-0.109,0.2309,0.835,-0.0395,0.5571,
159586,南方中证全指计算机E,计算机,-0.32586652966987556,44,1.335,-0.0412,-0.0531,0.2799,0.3256,-0.0097,0.5588,
159961,方正富邦深证100E,深证100,-0.33451609497504997,45,1.439,0.0195,-0.0028,0.1615,0.0007,0.0125,0.7781,
513200,易方达中证港股通医药,医药,-0.34237489000193083,46,1.003,-0.0978,-0.1317,0.3264,0.6588,-0.0404,0.8941,
515250,富国中证智能汽车主题,汽车,-0.3475768776136045,47,1.412,-0.0525,-0.0808,0.2201,0.627,-0.0298,0.4979,
562660,华夏中证2000ET,中证2000,-0.3499940754744127,48,1.681,0.011,0.0688,0.2137,0.0011,-0.0021,0.4384,
517900,招商中证银行AH价格,银行,-0.3503953258334745,49,2.236,-0.0014,-0.0116,0.0891,0.1512,0.0056,1.1744,
159558,易方达中证半导体材料,材料,-0.378311131877287,50,1.5,-0.0661,-0.0484,0.3232,0.5389,-0.0586,0.5952,
159980,大成有色金属期货ET,有色,-0.3809801361913243,51,0.583,0.0234,0.0067,0.1806,0.0013,-0.0033,0.6113,
513260,汇添富恒生科技ETF,QDII,-0.3897768833561057,52,2.115,-0.0854,-0.1362,0.2333,0.6441,-0.0207,0.7594,
512090,易方达MSCI中国A,MSCI,-0.3926437721531299,53,5.31,0.0076,-0.0015,0.1191,0.0182,0.0013,1.1146,
159337,中证500ETF基金,中证500,-0.394730987769175,54,1.482,0.0027,0.032,0.1795,0.0548,-0.0092,0.6995,
563350,华泰柏瑞中证A50E,中证A50,-0.3977390543410697,55,1.556,0.0007,-0.0214,0.1225,0.1755,0.0039,0.6694,
