基金代码,基金简称,小类,综合得分
512090,易方达MSCI中国A,MSCI,0.8283041851081411
513260,汇添富恒生科技ETF,QDII,0.8442651265963549
515110,易方达中证国企一带一,一带一路,0.8519468703475396
530680,兴业上证180ETF,上证180,0.5012062643606744
510100,易方达上证50ETF,上证50ETF,0.6671579047021101
560080,汇添富中证中药ETF,中药,0.4275548346756443
159629,富国中证1000ET,中证1000,0.7775434995049044
562660,华夏中证2000ET,中证2000,0.7034909276935448
159337,中证500ETF基金,中证500,0.7136076035719783
563350,华泰柏瑞中证A50E,中证A50,0.7348276238898626
159739,鹏华中证云计算与大数,云计算与大数据,0.5536563208517952
159568,博时港股通互联网ET,互联网,0.703633207202529
159819,易方达中证人工智能主,人工智能,0.4280193519946734
512980,广发中证传媒ETF,传媒,0.42814420004922865
159885,鹏华中证内地低碳经济,低碳,0.4281889293642907
511130,博时上证30年期国债,债券,0.6858051190235805
516670,招商中证畜牧养殖ET,养殖,0.42745363214871507
512660,国泰中证军工ETF,军工,0.7437645653467977
516810,华夏中证农业主题ET,农业,0.42710192836630245
159572,易方达创业板中盘20,创业板,0.7907419422692259
159335,融通中证诚通央企科技,创新,0.6531095518201376
159570,汇添富国证港股通创新,创新药,0.703497469819829
516010,国泰中证动漫游戏ET,动漫游戏,0.8539679850448649
159981,建信能源化工期货ET,化工,0.7024174781520662
513200,易方达中证港股通医药,医药,0.8312822366855201
513310,华泰柏瑞中韩半导体E,半导体,0.4276528343794516
510170,国联安上证商品ETF,商品,0.4285131204457921
513170,鹏华恒生中国央企(Q,国央企,0.7389127033350823
159312,广发恒指港股通ETF,国际,0.8520713768348737
516970,广发中证基建工程ET,基建,0.7025843709371561
560880,广发中证全指家用电器,家用电器,0.7022358205302598
515800,添富中证800ETF,宽基,0.6520018172471304
560280,广发中证工程机械主题,工程机械,0.42765708458882357
512200,南方中证房地产ETF,房地产,0.4319874549477719
159566,易方达国证新能源电池,新能源,0.8161341333256207
159980,大成有色金属期货ET,有色,0.7018470323761771
159558,易方达中证半导体材料,材料,0.7043291033971206
515250,富国中证智能汽车主题,汽车,0.703084352893693
159565,易方达中证汽车零部件,汽车零部件,0.6530531624280747
159300,富国沪深300ETF,沪深300,0.7306258936530314
159659,招商纳斯达克100E,海外,0.6959433747230682
513070,易方达中证港股通消费,消费,0.8147324914924687
159961,方正富邦深证100E,深证100,0.5023433399776785
515220,国泰中证煤炭ETF,煤炭,0.42901967413044595
512580,广发中证环保ETF,环保,0.8526131600953539
588700,嘉实上证科创板生物医,生物医药,0.4292684284658486
159625,嘉实国证绿色电力ET,电力,0.7848657224475968
159997,天弘中证电子ETF,电子,0.4279799798477338
561380,国泰恒生A股电网设备,电网设备,0.42730571555759833
588030,博时上证科创板100,科创板,0.7933152973656833
159636,工银瑞信国证港股通科,科技,0.7696414225761513
516150,嘉实中证稀土产业ET,稀土,0.42819769028341614
159916,建信深证基本面60E,策略,0.703100706626257
159333,万家中证港股通央企红,红利,0.7320266167254988
159697,鹏华国证石油天然气E,能源,0.7020869422082807
588750,汇添富上证科创板芯片,芯片,0.733803784019401
159586,南方中证全指计算机E,计算机,0.8543568519540734
560090,汇添富中证全指证券公,证券,0.8529946291445724
159695,嘉实国证通信ETF,通信,0.853110706479087
513190,华夏中证港股通内地金,金融,0.7024420100592544
515210,国泰中证钢铁ETF,钢铁,0.42771585084845026
517900,招商中证银行AH价格,银行,0.7364142794288289
513750,广发中证港股通非银E,非银,0.8531721629357121
159736,天弘中证食品饮料ET,食品饮料,0.42760554729912426
159545,易方达恒生港股通高股,高股息,0.7801019391359547
159562,华夏中证沪深港黄金产,黄金,0.6411233537242974
