基金代码,基金简称,小类,最新日期,最新收盘价,成交量状态,短期均量,长期均量,量比趋势,量能斜率,价格趋势斜率,量价相关系数,放量天数占比,连续放量天数,价格位置
512090,易方达MSCI中国A,MSCI,2026-03-12,1.985,正常,64207112.8,62500430.7,0.027306725423893674,-72471.51729323308,-0.0003744360902255594,-0.6646433990895295,0.2,1,0.6290322580645179
513260,汇添富恒生科技ETF,QDII,2026-03-12,1.243,正常,291134220.0,248912259.25,0.1696258789230367,7772372.883458647,-0.007318045112781953,-0.7040971168437026,0.5,0,0.29268292682926866
515110,易方达中证国企一带一,一带一路,2026-03-12,1.911,正常,4683250.0,4810520.0,-0.02645659928656363,36861.42857142857,0.009376691729323311,0.46451616248329697,0.65,0,1.0
530680,兴业上证180ETF,上证180,2026-03-12,1.192,正常,6395860.0,6526625.0,-0.02003562331220199,81607.44360902255,-0.000748872180451124,-0.2320282093212312,0.5,0,0.303030303030302
510100,易方达上证50ETF,上证50ETF,2026-03-12,2.971,正常,188583919.6,186117599.0,0.013251409932491187,-2602052.6240601502,-0.004448120300751879,-0.13657056145675267,0.2,0,0.08421052631578976
560080,汇添富中证中药ETF,中药,2026-03-12,1.034,正常,39271521.6,46695024.05,-0.15897844794021465,-607454.45037594,-0.0015233082706766934,-0.29802140909278535,0.15,0,0.35714285714285976
159629,富国中证1000ET,中证1000,2026-03-12,3.418,正常,53190576.4,74614443.0,-0.2871276087928446,-3662743.82556391,-0.0012729323308270709,-0.4203338391502276,0.25,0,0.49746192893401153
562660,华夏中证2000ET,中证2000,2026-03-12,1.927,正常,12349480.0,15750985.0,-0.2159550656673218,-293829.54887218046,-0.00018721804511277838,-0.723823975720789,0.3,0,0.5423728813559322
159337,中证500ETF基金,中证500,2026-03-12,1.871,正常,6584840.0,7822540.0,-0.15822226540228623,-62038.34586466166,-0.0011654135338345943,-0.4342216623053812,0.3,0,0.15
563350,华泰柏瑞中证A50E,中证A50,2026-03-12,1.37,正常,11000077.6,13479361.05,-0.18393182294052435,-79185.81879699249,-0.0009293233082706751,-0.7364042840096782,0.55,0,0.6600000000000023
159739,鹏华中证云计算与大数,云计算与大数据,2026-03-12,1.719,量价底背离,14785340.2,14439345.05,0.023961969798623084,-14023.82030075188,-0.00395187969924812,0.5846622793982446,0.55,1,0.5106382978723408
159568,博时港股通互联网ET,互联网,2026-03-12,1.443,放量滞涨,80420136.4,67014602.85,0.20003899120324342,2537338.8112781956,-0.010293233082706766,-0.7663125948406677,0.8,0,0.1628959276018102
159819,易方达中证人工智能主,人工智能,2026-03-12,1.538,正常,293366564.4,317551820.3,-0.07616160372550074,-1204295.1533834587,-0.0038714285714285764,-0.1805766312594841,0.4,0,0.25000000000000105
512980,广发中证传媒ETF,传媒,2026-03-12,1.062,量价底背离,274940340.2,444697014.4,-0.3817355833365361,-19056399.398496237,-0.008384962406015042,0.341358852325196,0.2,0,0.032467532467533186
159885,鹏华中证内地低碳经济,低碳,2026-03-12,0.881,量价齐升 | 高位爆量 | 连续放量3天,4178120.6,2525555.3,0.6543374045304018,169170.78796992483,0.0018849624060150395,0.4189283207802977,0.35,3,1.0
511130,博时上证30年期国债,债券,2026-03-12,104.094,连续放量4天,30283356.0,23976992.45,0.2630172888927109,278450.5586466166,-0.05503684210526318,-0.12139605462822459,0.55,4,0.002467612584818439
516670,招商中证畜牧养殖ET,养殖,2026-03-12,0.745,正常,67050980.0,69971577.5,-0.0417397692655993,-3084836.2781954887,0.002385714285714288,0.11612904062082424,0.2,1,1.0
512660,国泰中证军工ETF,军工,2026-03-12,1.457,正常,384297894.6,456101613.6,-0.1574292150235006,-1174978.2917293233,-0.0007796992481203038,0.042488619119878605,0.5,0,0.0
516810,华夏中证农业主题ET,农业,2026-03-12,0.944,量价齐升 | 连续放量9天,37680060.0,29836305.0,0.26289297552092994,1169065.6390977444,0.004373684210526319,0.8607211246014033,0.8,9,1.0
159572,易方达创业板中盘20,创业板,2026-03-12,1.57,正常,12737533.2,12698115.9,0.003104184928726328,-18988.0,-0.0028315789473684215,-0.1608497723823976,0.2,0,0.5486725663716819
159335,融通中证诚通央企科技,创新,2026-03-12,1.588,正常,3113820.0,5906250.0,-0.47279238095238096,175543.15789473685,0.0036293233082706823,-0.060076201965192845,0.45,0,0.7113402061855674
159570,汇添富国证港股通创新,创新药,2026-03-12,1.493,放量滞涨 | 连续放量9天,1563198845.4,1151521037.1,0.35750784834706373,66896416.49924812,-0.006569172932330829,-0.7209144235823141,0.7,9,0.42156862745098084
516010,国泰中证动漫游戏ET,动漫游戏,2026-03-12,1.392,正常,70136661.2,77536643.05,-0.09543851215260979,-580616.5120300753,-0.012212781954887224,-0.03490136570561457,0.45,0,0.05982905982905983
159981,建信能源化工期货ET,化工,2026-03-12,1.625,量价齐升 | 高位爆量 | 连续放量3天,2353988780.6,1116117658.9,1.1090865840434736,156066304.4270677,0.018524812030075197,0.8740515933232171,0.7,3,1.0
513200,易方达中证港股通医药,医药,2026-03-12,1.015,正常,148902083.0,129369972.0,0.15097870624877308,6927774.511278195,-0.006264661654135344,-0.8766604046866143,0.7,0,0.23076923076923017
