基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类,年化收益率,年化波动率,夏普比率,Beta,Alpha,数据起止,交易日数,计算状态
511010,国泰上证5年期国债E,指数型,67.66%,32.34%,30.21 亿,截至2025-06-30，国泰上证5年期国债ETF 的基金机构持有0.14亿份，占总份额的67.66%，个人投资者持有0.07亿份，占总份额的32.34%,债券,0.029681883417469912,0.02541892950623593,0.18418885092392745,-0.012692364069050999,0.030863923423754658,2013-04-10 至 2025-02-28,2889.0,成功
511260,国泰上证10年期国债,指数型,90.52%,9.48%,165.56 亿,截至2025-06-30，国泰上证10年期国债ETF 的基金机构持有0.94亿份，占总份额的90.52%，个人投资者持有0.10亿份，占总份额的9.48%,债券,0.04305244453005841,0.02816540717467831,0.6409438506640227,-0.03397819288906348,0.04499446067062429,2017-08-25 至 2025-02-28,1820.0,成功
511270,海富通上证10年期地,指数型,88.35%,11.65%,37.56 亿,截至2025-06-30，海富通上证10年期地方政府债ETF 的基金机构持有0.18亿份，占总份额的88.35%，个人投资者持有0.02亿份，占总份额的11.65%,债券,0.02418258480109281,0.031087041667143097,-0.026294402911009183,-0.0354564909613072,0.026272230735603364,2018-11-23 至 2025-02-28,1514.0,成功
159972,鹏华中证5年地债ET,指数型,98.72%,1.28%,37.61 亿,截至2025-06-30，鹏华中证5年地债ETF 的基金机构持有0.35亿份，占总份额的98.72%，个人投资者持有0.00亿份，占总份额的1.28%,债券,0.02715468764400497,0.03106393889600998,0.06936298874453843,-0.009549143472288649,0.02785248371432303,2019-11-11 至 2025-02-28,1280.0,成功
511020,平安中证5-10年国,指数型,91.14%,8.86%,20.05 亿,截至2025-06-30，平安中证5-10年国债活跃券ETF 的基金机构持有0.12亿份，占总份额的91.14%，个人投资者持有0.01亿份，占总份额的8.86%,债券,0.028477266315537042,0.034792844095562825,0.09994199686539856,-0.03080028751771757,0.0301734653879302,2019-02-25 至 2025-02-28,1363.0,成功
511520,富国中债7-10年政,指数型,96.35%,3.65%,407.05 亿,截至2025-06-30，富国中债7-10年政策性金融债ETF 的基金机构持有4.33亿份，占总份额的96.35%，个人投资者持有0.16亿份，占总份额的3.65%,债券,0.05971310076860825,0.023650454394647615,1.4677561872326752,-0.038071888498626145,0.06206521974406898,2022-10-26 至 2025-02-28,568.0,成功
511090,鹏扬中债-30年期国,指数型,68.83%,31.17%,245.82 亿,截至2025-06-30，鹏扬中债-30年期国债ETF 的基金机构持有0.89亿份，占总份额的68.83%，个人投资者持有0.40亿份，占总份额的31.17%,债券,0.13286040643132213,0.07274624116694332,1.4826938780767558,-0.11547886337345113,0.14086140695781424,2023-06-14 至 2025-02-28,413.0,成功
159816,鹏华0-4年地方政府,指数型,99.01%,0.99%,120.17 亿,截至2025-06-30，鹏华0-4年地方政府债ETF 的基金机构持有0.17亿份，占总份额的99.01%，个人投资者持有0.00亿份，占总份额的0.99%,债券,0.03633633964908256,0.02544482782523536,0.44552628640070985,-0.003639229520392016,0.030028764570598998,2020-09-07 至 2025-02-28,1077.0,成功
511360,海富通中证短融ETF,指数型,65.91%,34.09%,702.23 亿,截至2025-06-30，海富通中证短融ETF 的基金机构持有2.88亿份，占总份额的65.91%，个人投资者持有1.49亿份，占总份额的34.09%,债券,0.024972223151393136,0.007860685662988809,-0.003533641949028673,-0.0008086733562612115,0.02492127697857538,2020-09-28 至 2025-02-28,1068.0,成功
159649,华安中债1-5年国开,指数型,94.81%,5.19%,27.40 亿,截至2025-06-30，华安中债1-5年国开债ETF 的基金机构持有0.37亿份，占总份额的94.81%，个人投资者持有0.02亿份，占总份额的5.19%,债券,0.029680635993498905,0.010157774431587429,0.4607934567776602,-0.013375860564868855,0.03028315703148432,2022-10-25 至 2025-02-28,569.0,成功
511580,招商中证国债及政策性,指数型,89.74%,10.26%,56.07 亿,截至2025-06-30，招商中证国债及政策性金融债0-3年ETF 的基金机构持有0.03亿份，占总份额的89.74%，个人投资者持有0.00亿份，占总份额的10.26%,债券,0.03488213952728558,0.01083711022611544,0.9118795805427397,-0.011824609488908398,0.03524585296570115,2022-12-15 至 2025-02-28,526.0,成功
511100,华夏上证基准做市国债,指数型,81.37%,18.63%,114.50 亿,截至2025-06-30，华夏上证基准做市国债ETF 的基金机构持有0.03亿份，占总份额的81.37%，个人投资者持有0.01亿份，占总份额的18.63%,债券,0.07264919713320328,0.024790099975519935,1.9221058882479924,-0.03561857932962045,0.08006197644008561,2023-12-26 至 2025-02-28,282.0,成功
159650,博时中债0-3年国开,指数型,76.71%,8.09%,42.33 亿,截至2025-06-30，博时中债0-3年国开行ETF 的基金机构持有0.24亿份，占总份额的76.71%，个人投资者持有0.03亿份，占总份额的8.09%,债券,0.025513608053105985,0.006642090108427787,0.07732627000261473,-0.006618186579299885,0.025964774205686103,2022-10-31 至 2025-02-28,565.0,成功
159651,平安中债-0-3年国,指数型,89.78%,10.22%,6.95 亿,截至2025-06-30，平安中债-0-3年国开行债券ETF 的基金机构持有0.09亿份，占总份额的89.78%，个人投资者持有0.01亿份，占总份额的10.22%,债券,0.026038687325013132,0.007092277614443628,0.1464532808047184,-0.00568856388055083,0.027142917288053958,2022-11-17 至 2025-02-28,552.0,成功
511030,平安中债债利差因子E,指数型,99.48%,0.52%,337.20 亿,截至2025-06-30，平安中债债利差因子ETF 的基金机构持有2.05亿份，占总份额的99.48%，个人投资者持有0.01亿份，占总份额的0.52%,债券,-0.3347497234916589,0.38396310099753317,-0.9369382697374615,0.03720508507316235,-0.14418618099559777,2019-03-25 至 2025-02-28,1394.0,成功
