date,fin_balance_sh,fin_balance_sz,total_balance
2018-01-02,6083.66051878,4167.86,10251.520518779998
2018-01-03,6088.15534517,4180.38,10268.53534517
2018-01-04,6105.27948195,4183.93,10289.209481950002
2018-01-05,6110.33498008,4177.8,10288.13498008
2018-01-08,6144.37310945,4197.57,10341.94310945
2018-01-09,6165.40107796,4213.31,10378.71107796
2018-01-10,6196.25092233,4228.87,10425.12092233
2018-01-11,6210.4674413,4245.3,10455.7674413
2018-01-12,6198.48249343,4237.11,10435.59249343
2018-01-15,6214.97637591,4236.88,10451.85637591
2018-01-16,6259.92542194,4247.95,10507.87542194
2018-01-17,6270.94987907,4253.52,10524.46987907
2018-01-18,6342.28438561,4256.49,10598.774385609999
2018-01-19,6360.1890556,4250.38,10610.5690556
2018-01-22,6399.21300534,4263.37,10662.583005339999
2018-01-23,6445.64213418,4268.41,10714.05213418
2018-01-24,6468.59187212,4289.78,10758.371872119998
2018-01-25,6475.29134317,4288.34,10763.63134317
2018-01-26,6466.34615949,4276.4,10742.74615949
2018-01-29,6482.56047965,4297.33,10779.89047965
2018-01-30,6481.76166579,4302.24,10784.00166579
2018-01-31,6454.0068069,4288.72,10742.7268069
2018-02-01,6364.82319607,4252.72,10617.54319607
2018-02-02,6310.35437334,4217.22,10527.574373340001
2018-02-05,6300.54975768,4207.12,10507.66975768
2018-02-06,6192.90275865,4152.3,10345.20275865
2018-02-07,6164.05478519,4127.43,10291.484785190001
2018-02-08,6157.10148081,4102.23,10259.33148081
2018-02-09,6048.3355721,4030.99,10079.325572099999
2018-02-12,6009.26938548,3995.16,10004.42938548
2018-02-13,5953.28087592,3960.06,9913.34087592
2018-02-14,5875.967084,3901.76,9777.727084
2018-02-22,5903.7419256,3921.33,9825.071925600001
2018-02-23,5903.18411364,3923.47,9826.65411364
2018-02-26,5927.14977109,3950.07,9877.21977109
2018-02-27,5930.11785899,3957.7,9887.81785899
2018-02-28,5946.17162664,3956.79,9902.96162664
2018-03-01,5959.39917864,3975.05,9934.44917864
2018-03-02,5953.61568569,3973.75,9927.36568569
2018-03-05,5950.4993041,3973.97,9924.4693041
2018-03-06,5975.37104191,3979.02,9954.39104191
2018-03-07,5969.69079947,3975.29,9944.980799469999
2018-03-08,5979.4021078,3975.81,9955.2121078
2018-03-09,5970.50145863,3977.83,9948.33145863
2018-03-12,6000.45856188,4001.5,10001.958561880001
2018-03-13,5995.68767827,4010.32,10006.00767827
2018-03-14,6003.45441237,4022.19,10025.64441237
2018-03-15,6011.72365606,4025.35,10037.07365606
2018-03-16,6006.03525889,4006.94,10012.97525889
2018-03-19,6015.76470724,4011.28,10027.04470724
2018-03-20,6021.06366122,4011.16,10032.22366122
2018-03-21,6035.79457196,4017.21,10053.00457196
2018-03-22,6037.96655509,4023.21,10061.17655509
2018-03-23,5937.92703708,3958.24,9896.16703708
2018-03-26,5974.11337395,3965.74,9939.85337395
2018-03-27,5994.42144212,3967.47,9961.89144212
2018-03-28,5993.07494218,3965.04,9958.11494218
2018-03-29,6001.45215249,3976.99,9978.442152489999
2018-03-30,5988.55912677,3969.07,9957.62912677
2018-04-02,6010.30714928,3978.27,9988.57714928
2018-04-03,6011.69419027,3975.91,9987.60419027
2018-04-04,5981.81552536,3946.31,9928.12552536
2018-04-09,5996.50337034,3962.34,9958.84337034
2018-04-10,5990.80845943,3955.73,9946.53845943
2018-04-11,5996.89679276,3956.6,9953.49679276
2018-04-12,6004.24988033,3952.64,9956.88988033
2018-04-13,5998.33935982,3943.96,9942.299359820001
2018-04-16,6010.24882857,3946.9,9957.14882857
2018-04-17,6002.84382263,3930.95,9933.79382263
2018-04-18,6000.98082128,3930.77,9931.75082128
2018-04-19,5991.80521526,3920.08,9911.885215260001
2018-04-20,5965.45372671,3894.92,9860.37372671
